platePosition,condition
A_1,d12-Hi
A_2,d5-Lo
A_3,d6-Lo
A_4,HeLaDMSO
A_5,d2-Hi
A_6,d9-Hi
A_7,controlDMSO
A_8,controlPBS
A_9,d11-Lo
A_10,d2-Lo
A_11,controlPBS
A_12,d12-Hi
B_1,d10-Lo
B_2,d4-Hi
B_3,d4-Hi
B_4,HeLaDMSO
B_5,d9-Hi
B_6,d7-Lo
B_7,controlPBS
B_8,d9-Lo
B_9,d4-Lo
B_10,d6-Lo
B_11,d10-Hi
B_12,d11-Hi
C_1,d6-Hi
C_2,d8-Lo
C_3,controlPBS
C_4,HeLaPBS
C_5,controlDMSO
C_6,d6-Lo
C_7,controlDMSO
C_8,d12-Lo
C_9,d9-Lo
C_10,d5-Hi
C_11,d3-Lo
C_12,d6-Hi
D_1,d10-Lo
D_2,controlDMSO
D_3,d2-Hi
D_4,HeLaPBS
D_5,d7-Lo
D_6,d11-Hi
D_7,d3-Hi
D_8,d10-Hi
D_9,d11-Lo
D_10,d10-Lo
D_11,controlPBS
D_12,d3-Lo
E_1,d12-Lo
E_2,d10-Hi
E_3,d1-Hi
E_4,controlDMSO
E_5,d3-Hi
E_6,d9-Hi
E_7,controlDMSO
E_8,HeLaDMSO
E_9,d5-Hi
E_10,controlDMSO
E_11,controlDMSO
E_12,d11-Hi
F_1,d8-Hi
F_2,d3-Lo
F_3,d1-Hi
F_4,d2-Lo
F_5,d2-Lo
F_6,d11-Lo
F_7,d12-Hi
F_8,HeLaDMSO
F_9,d8-Hi
F_10,d8-Lo
F_11,d4-Hi
F_12,controlPBS
G_1,d1-Lo
G_2,d4-Lo
G_3,d2-Hi
G_4,d1-Hi
G_5,d7-Lo
G_6,d12-Lo
G_7,d7-Hi
G_8,HeLaPBS
G_9,d5-Lo
G_10,d7-Hi
G_11,d7-Hi
G_12,d4-Lo
H_1,d8-Hi
H_2,d3-Hi
H_3,d6-Hi
H_4,d5-Lo
H_5,d1-Lo
H_6,d5-Hi
H_7,d9-Lo
H_8,HeLaPBS
H_9,d1-Lo
H_10,controlPBS
H_11,d8-Lo
H_12,controlPBS
